WORD,FREQUENCY,RANK,PROBABILITY,Constant
the,125750,1,0.057179779592980005,0.057179779592980005
and,78848,2,0.03585297225723489,0.07170594451446978
of,70080,3,0.03186607517992874,0.09559822553978622
to,46446,4,0.021119459586286676,0.0844778383451467
a,32505,5,0.014780347798567118,0.07390173899283559
in,31959,6,0.014532076151189248,0.0871924569071355
I,30256,7,0.013757705060558274,0.09630393542390792
that,27301,8,0.012414037078870356,0.09931229663096285
he,22203,9,0.010095925616723142,0.09086333055050827
his,20594,10,0.009364297263919127,0.09364297263919127
it,19735,11,0.008973701393777022,0.09871071533154724
was,18564,12,0.008441236010847562,0.10129483213017074
for,16860,13,0.007666410210239705,0.09966333273311617
not,16846,14,0.007660044270563349,0.10724061978788689
with,16828,15,0.007651859490979463,0.11477789236469195
And,16533,16,0.007517720047799113,0.12028352076478581
is,15948,17,0.007251714711322824,0.12327915009248801
be,15846,18,0.007205334293680804,0.1296960172862545
you,14667,19,0.006669231230936284,0.1267153933877894
as,13336,20,0.006064012251705617,0.12128024503411233
all,12969,21,0.005897133690189723,0.12383980749398418
him,12938,22,0.005883037680906364,0.12942682897994
they,11539,23,0.005246898423247684,0.12067866373469674
shall,11458,24,0.005210066915120198,0.12504160596288474
her,11173,25,0.005080474571708672,0.1270118642927168
them,10222,26,0.004648045383693373,0.1208491799760277
had,10184,27,0.004630766404571836,0.12503069292343957
have,9901,28,0.004502083481114076,0.12605833747119413
s,9793,29,0.004452974803610761,0.12913626930471206
my,9582,30,0.004357030998488544,0.13071092995465633
said,9410,31,0.004278820882464746,0.13264344735640712
me,9386,32,0.004267907843019565,0.1365730509766261
but,9254,33,0.0042078861260710695,0.1388602421603453
unto,8953,34,0.004071018423029423,0.1384146263830004
from,8647,35,0.003931877170103365,0.13761570095361778
at,8644,36,0.003930513040172717,0.1414984694462178
which,8435,37,0.003835478655004265,0.1419127102351578
on,8195,38,0.0037263482605524546,0.14160123390099327
by,8012,39,0.0036431363347829487,0.142082317056535
this,7706,40,0.00350399508185689,0.1401598032742756
The,7560,41,0.0034376074252320385,0.14094190443451357
their,7517,42,0.0034180548962260892,0.14355830564149574
she,7450,43,0.0033875893277749585,0.14566634109432322
will,7133,44,0.003243446265103192,0.14271163566454045
were,6815,45,0.003098848492454543,0.13944818216045443
LORD,6657,46,0.0030270043161071004,0.13924219854092662
are,6643,47,0.003020638376430745,0.14197000369224502
so,6340,48,0.002882861253435334,0.13837734016489603
thou,5928,49,0.0026955207429597253,0.13208051640502655
or,5901,50,0.0026832435735838966,0.13416217867919483
one,5761,51,0.0026195841768203404,0.13359879301783736
out,5651,52,0.0025695660793632604,0.13361743612688953
man,5373,53,0.002443156705789913,0.1294873054068654
thy,5296,54,0.002408144037569957,0.1300397780287777
when,5288,55,0.0024045063577548967,0.1322478496765193
there,5225,56,0.0023758596292112965,0.1330481392358326
up,4955,57,0.0022530879354530093,0.12842601232082154
no,4910,58,0.002232625986493295,0.1294923072166111
God,4885,59,0.0022212582370712314,0.13105423598720264
your,4847,60,0.0022039792579496946,0.13223875547698166
thee,4737,61,0.0021539611604926147,0.1313916307900495
an,4730,62,0.0021507781906544366,0.13334824782057506
But,4685,63,0.002130316241694722,0.1342099232267675
upon,4467,64,0.0020311894667343275,0.12999612587099696
ye,4361,65,0.0019829902091847776,0.12889436359701054
do,4250,66,0.0019325174017508153,0.12754614851555382
we,4219,67,0.0019184213924674563,0.12853423329531957
what,4133,68,0.0018793163344555574,0.1277935107429779
into,4031,69,0.001832935916813538,0.1264725782601341
more,3980,70,0.0018097457079925283,0.126682199559477
if,3964,71,0.0018024703483624075,0.12797539473373093
would,3933,72,0.0017883743390790486,0.1287629524136915
very,3862,73,0.0017560899307203879,0.12819456494258832
He,3642,74,0.001656053735806228,0.12254797644966087
who,3606,75,0.0016396841766384564,0.12297631324788423
could,3530,76,0.001605126218395383,0.12198959259804912
been,3409,77,0.0015501063111925952,0.11935818596182983
now,3398,78,0.001545104501446887,0.1205181511128572
like,3355,79,0.0015255519724409377,0.12051860582283408
before,3335,80,0.0015164577729032869,0.12131662183226295
any,3329,81,0.0015137295130419916,0.12261209055640132
came,3313,82,0.0015064541534118708,0.12352924057977341
day,3280,83,0.001491448724174747,0.123790244106504
come,3220,84,0.001464166125561794,0.12298995454719071
know,2997,85,0.0013627658007169868,0.11583509306094388
am,2925,86,0.0013300266823814434,0.11438229468480414
did,2914,87,0.0013250248726357355,0.11527716391930899
then,2910,88,0.0013232060327282053,0.11644213088008207
1,2892,89,0.0013150212531443195,0.11703689152984444
than,2871,90,0.001305472343629786,0.11749251092668075
